Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
2021-12-11,19:04:28.594335,979089.83452479,31,39,1145.5469814200187
2021-12-11,19:19:39.160236,979089.83452479,31,44,0.0
2021-12-11,19:34:49.715498,979743.97395525,31,34,654.139430459938
2021-12-11,19:50:00.365333,980585.63283634,31,29,841.6588810899993
2021-12-11,20:05:10.851354,981132.09064699,31,15,546.4578106499976
2021-12-11,20:20:21.264664,981591.49600834,31,29,459.4053613500437
2021-12-11,20:35:32.381161,982011.39734234,31,39,419.90133399993647
2021-12-11,20:50:42.741611,982370.90259286,29,19,359.5052505200729
2021-12-11,21:23:02.392340,982594.6677544,30,0,223.76516154001
2021-12-12,20:04:02.241833,982594.6677544,30,0,0.0
2021-12-12,20:19:15.062506,982594.6677544,31,0,0.0
2021-12-12,20:34:25.528382,982771.65674464,31,24,176.98899023991544
2021-12-12,20:49:35.927714,983300.30098402,31,34,528.6442393800244
2021-12-12,21:04:46.175428,984294.60635179,31,34,994.3053677700228
2021-12-12,21:19:56.675976,985410.85779285,29,44,1116.251441059983
2021-12-12,21:35:07.301944,985504.58355143,30,10,93.72575858002529
2021-12-12,21:50:17.900763,985626.58330838,31,19,121.99975694995372
2021-12-12,22:05:28.466901,986650.23620981,30,39,1023.6529014300322
2021-12-12,22:20:38.937724,987059.04256729,31,39,408.8063574800035
2021-12-12,22:35:49.475197,988123.8611872,30,34,1064.818619909929
2021-12-12,22:50:59.986476,988414.01345067,31,24,290.1522634701105
2021-12-12,23:06:13.378742,988570.46239673,31,24,156.4489460599143
2021-12-12,23:21:23.756833,989147.58434856,31,39,577.1219518299913
2021-12-13,11:36:21.500852,990280.41645314,30,10,1132.8321045800112
2021-12-13,11:51:32.521108,990784.40112137,31,34,503.98466823005583
2021-12-13,12:06:43.073518,991308.13152302,31,44,523.7304016499547
2021-12-13,12:21:53.734981,992933.92674394,31,39,1625.7952209200012
2021-12-13,12:37:04.030292,993611.94788004,31,24,678.0211361000547
2021-12-13,12:52:14.474810,993854.14137789,31,15,242.1934978499776
2021-12-13,13:07:24.957180,994047.81396045,31,19,193.67258255998604
2021-12-13,13:22:35.233774,994047.81396045,31,39,0.0
2021-12-13,13:37:45.596775,995375.35700177,31,48,1327.543041320052
